,date,Precipitation
0,2016-08-23,0.0
1,2016-08-24,0.08
2,2016-08-25,0.08
3,2016-08-26,0.0
4,2016-08-27,0.0
5,2016-08-28,0.01
6,2016-08-29,0.0
7,2016-08-30,0.0
8,2016-08-31,0.13
9,2016-09-01,0.0
10,2016-09-02,0.0
11,2016-09-03,0.0
12,2016-09-04,0.03
13,2016-09-07,0.05
14,2016-09-08,0.0
15,2016-09-09,0.03
16,2016-09-10,0.0
17,2016-09-11,0.05
18,2016-09-12,0.0
19,2016-09-13,0.02
20,2016-09-14,1.32
21,2016-09-15,0.42
22,2016-09-16,0.06
23,2016-09-17,0.05
24,2016-09-18,0.0
25,2016-09-19,0.0
26,2016-09-20,0.0
27,2016-09-21,0.0
28,2016-09-22,0.02
29,2016-09-23,0.0
30,2016-09-24,0.0
31,2016-09-25,0.0
32,2016-09-26,0.06
33,2016-09-27,0.02
34,2016-09-28,0.0
35,2016-09-29,0.0
36,2016-09-30,0.0
37,2016-10-01,0.0
38,2016-10-02,0.0
39,2016-10-03,0.0
40,2016-10-04,0.0
41,2016-10-05,0.0
42,2016-10-06,0.0
43,2016-10-07,0.0
44,2016-10-08,0.0
45,2016-10-09,0.0
46,2016-10-10,0.0
47,2016-10-11,0.0
48,2016-10-12,0.0
49,2016-10-13,0.0
50,2016-10-14,0.0
51,2016-10-15,0.0
52,2016-10-16,0.0
53,2016-10-17,0.01
54,2016-10-18,0.0
55,2016-10-19,0.0
56,2016-10-20,0.0
57,2016-10-21,0.05
58,2016-10-22,0.15
59,2016-10-23,0.01
60,2016-10-24,0.0
61,2016-10-25,0.03
62,2016-10-26,0.0
63,2016-10-27,0.0
64,2016-10-28,0.0
65,2016-10-29,0.0
66,2016-10-30,0.24
67,2016-10-31,0.03
68,2016-11-01,0.0
69,2016-11-02,0.0
70,2016-11-03,0.0
71,2016-11-04,0.0
72,2016-11-05,0.0
73,2016-11-06,0.0
74,2016-11-07,0.0
75,2016-11-08,0.07
76,2016-11-09,0.0
77,2016-11-10,0.0
78,2016-11-11,0.0
79,2016-11-12,0.0
80,2016-11-13,0.0
81,2016-11-14,0.0
82,2016-11-15,0.0
83,2016-11-16,0.0
84,2016-11-17,0.0
85,2016-11-18,0.0
86,2016-11-19,0.03
87,2016-11-20,0.05
88,2016-11-21,0.01
89,2016-11-22,0.13
90,2016-11-23,0.14
91,2016-11-24,0.05
92,2016-11-25,0.05
93,2016-11-26,0.05
94,2016-11-27,0.0
95,2016-11-28,0.01
96,2016-11-29,0.0
97,2016-11-30,0.14
98,2016-12-01,0.12
99,2016-12-02,0.03
100,2016-12-03,0.0
101,2016-12-04,0.03
102,2016-12-05,0.43
103,2016-12-06,0.02
104,2016-12-07,0.0
105,2016-12-08,0.03
106,2016-12-09,0.52
107,2016-12-10,0.05
108,2016-12-11,0.04
109,2016-12-12,0.01
110,2016-12-13,0.05
111,2016-12-14,0.03
112,2016-12-15,0.0
113,2016-12-16,0.0
114,2016-12-17,0.01
115,2016-12-18,0.13
116,2016-12-19,0.01
117,2016-12-20,0.0
118,2016-12-21,0.0
119,2016-12-22,0.01
120,2016-12-23,0.01
121,2016-12-24,0.01
122,2016-12-25,0.0
123,2016-12-26,0.02
124,2016-12-27,0.0
125,2016-12-28,0.02
126,2016-12-29,0.04
127,2016-12-30,0.12
128,2016-12-31,0.01
129,2017-01-01,0.0
130,2017-01-02,0.0
131,2017-01-03,0.0
132,2017-01-04,0.0
133,2017-01-05,0.0
134,2017-01-06,0.0
135,2017-01-07,0.0
136,2017-01-08,0.0
137,2017-01-09,0.0
138,2017-01-10,0.0
139,2017-01-11,0.0
140,2017-01-12,0.0
141,2017-01-13,0.0
142,2017-01-14,0.0
143,2017-01-15,0.0
144,2017-01-16,0.0
145,2017-01-17,0.0
146,2017-01-18,0.0
147,2017-01-19,0.0
148,2017-01-20,0.0
149,2017-01-21,0.0
150,2017-01-22,0.16
151,2017-01-23,0.0
152,2017-01-24,0.04
153,2017-01-25,0.03
154,2017-01-26,0.0
155,2017-01-27,0.0
156,2017-01-28,0.0
157,2017-01-29,0.18
158,2017-01-30,0.0
159,2017-01-31,0.0
160,2017-02-01,0.0
161,2017-02-02,0.0
162,2017-02-03,0.0
163,2017-02-04,0.0
164,2017-02-05,0.0
165,2017-02-06,0.0
166,2017-02-07,0.51
167,2017-02-08,0.0
168,2017-02-09,0.0
169,2017-02-10,0.0
170,2017-02-11,0.31
171,2017-02-12,2.62
172,2017-02-13,0.01
173,2017-02-14,0.0
174,2017-02-15,0.0
175,2017-02-16,0.07
176,2017-02-17,0.0
177,2017-02-18,0.0
178,2017-02-19,0.0
179,2017-02-20,0.0
180,2017-02-21,0.06
181,2017-02-22,0.06
182,2017-02-23,0.01
183,2017-02-24,0.0
184,2017-02-25,0.03
185,2017-02-26,0.0
186,2017-02-27,0.0
187,2017-02-28,0.0
188,2017-03-01,1.19
189,2017-03-02,0.73
190,2017-03-03,0.47
191,2017-03-04,0.0
192,2017-03-05,0.35
193,2017-03-06,0.0
194,2017-03-07,0.0
195,2017-03-08,0.0
196,2017-03-09,0.0
197,2017-03-10,0.0
198,2017-03-11,0.0
199,2017-03-12,0.0
200,2017-03-13,0.0
201,2017-03-14,0.0
202,2017-03-15,0.0
203,2017-03-16,0.0
204,2017-03-17,0.0
205,2017-03-18,0.0
206,2017-03-19,0.0
207,2017-03-20,0.0
208,2017-03-21,0.0
209,2017-03-22,0.0
210,2017-03-23,0.0
211,2017-03-24,0.02
212,2017-03-25,0.0
213,2017-03-26,0.0
214,2017-03-27,0.0
215,2017-03-28,0.0
216,2017-03-29,0.0
217,2017-03-30,0.0
218,2017-03-31,0.0
219,2017-04-01,0.0
220,2017-04-02,0.0
221,2017-04-03,0.0
222,2017-04-04,0.0
223,2017-04-05,0.0
224,2017-04-06,0.0
225,2017-04-07,0.0
226,2017-04-08,0.0
227,2017-04-09,0.0
228,2017-04-10,0.0
229,2017-04-11,0.0
230,2017-04-12,0.0
231,2017-04-13,0.0
232,2017-04-14,0.26
233,2017-04-15,0.01
234,2017-04-16,0.0
235,2017-04-17,0.02
236,2017-04-18,0.0
237,2017-04-19,0.02
238,2017-04-20,0.05
239,2017-04-21,0.23
240,2017-04-22,0.32
241,2017-04-23,0.03
242,2017-04-24,0.0
243,2017-04-25,0.0
244,2017-04-26,0.0
245,2017-04-27,0.0
246,2017-04-28,0.0
247,2017-04-29,0.12
248,2017-04-30,0.89
249,2017-05-01,0.26
250,2017-05-02,0.0
251,2017-05-03,0.0
252,2017-05-04,0.0
253,2017-05-05,0.0
254,2017-05-06,0.0
255,2017-05-07,0.0
256,2017-05-08,0.0
257,2017-05-10,0.0
258,2017-05-11,0.01
259,2017-05-12,0.0
260,2017-05-13,0.0
261,2017-05-14,0.0
262,2017-05-15,0.05
263,2017-05-16,0.01
264,2017-05-17,0.0
265,2017-05-18,0.01
266,2017-05-19,0.0
267,2017-05-20,0.0
268,2017-05-21,0.0
269,2017-05-22,0.0
270,2017-05-23,0.08
271,2017-05-24,0.13
272,2017-05-25,0.15
273,2017-05-27,0.01
274,2017-05-28,0.02
275,2017-05-29,0.0
276,2017-05-30,0.26
277,2017-05-31,0.02
278,2017-06-01,0.0
279,2017-06-02,0.0
280,2017-06-03,0.02
281,2017-06-04,0.0
282,2017-06-05,0.0
283,2017-06-06,0.0
284,2017-06-07,0.0
285,2017-06-08,0.0
286,2017-06-09,0.0
287,2017-06-10,0.04
288,2017-06-11,0.08
289,2017-06-12,0.02
290,2017-06-13,0.0
291,2017-06-14,0.0
292,2017-06-15,0.0
293,2017-06-16,0.0
294,2017-06-17,0.0
295,2017-06-18,0.05
296,2017-06-19,0.0
297,2017-06-20,0.02
298,2017-06-21,0.0
299,2017-06-22,0.0
300,2017-06-23,0.0
301,2017-06-24,0.06
302,2017-06-25,0.0
303,2017-06-26,0.0
304,2017-06-27,0.0
305,2017-06-28,0.0
306,2017-06-29,0.0
307,2017-06-30,0.08
308,2017-07-01,0.02
309,2017-07-02,0.02
310,2017-07-03,0.04
311,2017-07-04,0.04
312,2017-07-05,0.0
313,2017-07-06,0.0
314,2017-07-07,0.0
315,2017-07-08,0.0
316,2017-07-09,0.0
317,2017-07-10,0.0
318,2017-07-11,0.0
319,2017-07-12,0.0
320,2017-07-13,0.07
321,2017-07-14,0.02
322,2017-07-15,0.0
323,2017-07-16,0.02
324,2017-07-17,0.03
325,2017-07-18,0.05
326,2017-07-20,0.03
327,2017-07-21,0.0
328,2017-07-22,0.03
329,2017-07-23,0.0
330,2017-07-24,0.05
331,2017-07-25,0.0
332,2017-07-26,0.0
333,2017-07-27,0.0
334,2017-07-28,0.0
335,2017-07-29,0.0
336,2017-07-30,0.0
337,2017-07-31,0.0
338,2017-08-01,0.02
339,2017-08-02,0.0
340,2017-08-03,0.0
341,2017-08-04,0.02
342,2017-08-05,0.0
343,2017-08-06,0.0
344,2017-08-07,0.0
345,2017-08-08,0.0
346,2017-08-09,0.0
347,2017-08-10,0.0
348,2017-08-11,0.0
349,2017-08-12,0.0
350,2017-08-13,0.0
351,2017-08-14,0.0
352,2017-08-15,0.02
353,2017-08-18,0.0
354,2017-08-19,0.0
355,2017-08-20,0.0
356,2017-08-21,0.0
357,2017-08-22,0.0
358,2017-08-23,0.0
359,2016-08-23,0.15
360,2016-08-24,2.15
361,2016-08-25,0.08
362,2016-08-26,0.03
363,2016-08-27,0.18
364,2016-08-28,0.14
365,2016-08-29,0.17
366,2016-08-30,0.0
367,2016-08-31,0.1
368,2016-09-01,0.0
369,2016-09-02,0.02
370,2016-09-03,0.07
371,2016-09-04,0.03
372,2016-09-05,0.11
373,2016-09-06,0.05
374,2016-09-07,0.1
375,2016-09-08,0.22
376,2016-09-09,0.01
377,2016-09-10,0.01
378,2016-09-11,0.18
379,2016-09-12,0.04
380,2016-09-13,0.37
381,2016-09-14,0.9
382,2016-09-15,0.12
383,2016-09-16,0.01
384,2016-09-17,0.04
385,2016-09-18,0.0
386,2016-09-19,0.01
387,2016-09-20,0.09
388,2016-09-21,0.06
389,2016-09-22,0.09
390,2016-09-23,0.15
391,2016-09-24,0.0
392,2016-09-25,0.02
393,2016-09-26,0.06
394,2016-09-27,0.12
395,2016-09-28,0.08
396,2016-09-29,0.49
397,2016-09-30,0.31
398,2016-10-01,0.14
399,2016-10-02,0.02
400,2016-10-03,0.04
401,2016-10-04,0.0
402,2016-10-05,0.0
403,2016-10-06,0.05
404,2016-10-07,0.0
405,2016-10-08,0.0
406,2016-10-09,0.0
407,2016-10-10,0.0
408,2016-10-11,0.02
409,2016-10-12,0.03
410,2016-10-13,0.0
411,2016-10-14,0.0
412,2016-10-15,0.0
413,2016-10-16,0.0
414,2016-10-17,0.03
415,2016-10-18,0.05
416,2016-10-19,0.06
417,2016-10-20,0.0
418,2016-10-21,0.15
419,2016-10-22,0.1
420,2016-10-23,0.01
421,2016-10-24,0.0
422,2016-10-25,0.04
423,2016-10-26,0.06
424,2016-10-27,0.11
425,2016-10-28,0.02
426,2016-10-29,0.02
427,2016-10-30,0.1
428,2016-10-31,0.03
429,2016-11-01,0.01
430,2016-11-02,0.0
431,2016-11-03,0.0
432,2016-11-04,0.0
433,2016-11-05,0.02
434,2016-11-06,0.02
435,2016-11-07,0.0
436,2016-11-08,0.14
437,2016-11-09,0.08
438,2016-11-10,0.0
439,2016-11-11,0.0
440,2016-11-12,0.0
441,2016-11-13,0.0
442,2016-11-14,0.06
443,2016-11-15,0.0
444,2016-11-16,0.14
445,2016-11-17,0.03
446,2016-11-18,0.01
447,2016-11-19,0.11
448,2016-11-20,0.11
449,2016-11-21,0.02
450,2016-11-22,0.41
451,2016-11-23,0.03
452,2016-11-24,0.2
453,2016-11-25,0.05
454,2016-11-26,0.05
455,2016-11-27,0.06
456,2016-11-28,0.02
457,2016-11-29,0.04
458,2016-11-30,0.05
459,2016-12-01,0.33
460,2016-12-02,0.3
461,2016-12-03,0.04
462,2016-12-04,0.1
463,2016-12-05,0.34
464,2016-12-06,0.02
465,2016-12-07,0.17
466,2016-12-08,0.03
467,2016-12-09,0.34
468,2016-12-10,0.02
469,2016-12-11,0.02
470,2016-12-12,0.01
471,2016-12-13,0.1
472,2016-12-14,0.05
473,2016-12-15,0.02
474,2016-12-16,0.01
475,2016-12-17,0.11
476,2016-12-18,0.29
477,2016-12-19,0.21
478,2016-12-20,0.02
479,2016-12-21,0.03
480,2016-12-22,0.17
481,2016-12-23,0.1
482,2016-12-24,0.14
483,2016-12-25,0.03
484,2016-12-26,0.26
485,2016-12-27,0.03
486,2016-12-28,0.09
487,2016-12-29,0.18
488,2016-12-30,0.21
489,2016-12-31,0.62
490,2017-01-01,0.29
491,2017-01-02,0.0
492,2017-01-03,0.0
493,2017-01-04,0.0
494,2017-01-05,0.0
495,2017-01-06,0.0
496,2017-01-07,0.06
497,2017-01-08,0.0
498,2017-01-09,0.0
499,2017-01-10,0.0
500,2017-01-11,0.0
501,2017-01-12,0.0
502,2017-01-13,0.0
503,2017-01-14,0.0
504,2017-01-15,0.0
505,2017-01-16,0.0
506,2017-01-17,0.0
507,2017-01-18,0.0
508,2017-01-19,0.0
509,2017-01-20,0.0
510,2017-01-21,0.04
511,2017-01-22,0.01
512,2017-01-23,0.08
513,2017-01-24,0.15
514,2017-01-25,0.12
515,2017-01-26,0.0
516,2017-01-27,0.0
517,2017-01-28,0.14
518,2017-01-29,0.0
519,2017-01-30,0.0
520,2017-01-31,0.0
521,2017-02-01,0.0
522,2017-02-02,0.0
523,2017-02-03,0.0
524,2017-02-04,0.0
525,2017-02-05,0.0
526,2017-02-06,0.16
527,2017-02-07,1.08
528,2017-02-08,1.08
529,2017-02-09,0.02
530,2017-02-10,0.0
531,2017-02-11,1.0
532,2017-02-12,1.07
533,2017-02-13,2.9
534,2017-02-14,0.0
535,2017-02-15,0.0
536,2017-02-16,0.0
537,2017-02-17,0.8
538,2017-02-18,0.0
539,2017-02-19,0.0
540,2017-02-20,0.0
541,2017-02-21,0.0
542,2017-02-22,0.06
543,2017-02-23,0.0
544,2017-02-24,0.0
545,2017-02-25,0.0
546,2017-02-26,0.0
547,2017-02-27,0.0
548,2017-02-28,0.16
549,2017-03-01,2.2
550,2017-03-02,1.45
551,2017-03-03,0.54
552,2017-03-04,0.0
553,2017-03-05,0.1
554,2017-03-06,0.51
555,2017-03-07,0.0
556,2017-03-08,0.0
557,2017-03-09,0.8
558,2017-03-10,0.13
559,2017-03-11,0.03
560,2017-03-12,0.0
561,2017-03-13,0.0
562,2017-03-14,0.0
563,2017-03-15,0.0
564,2017-03-16,0.0
565,2017-03-17,0.19
566,2017-03-18,0.0
567,2017-03-19,0.0
568,2017-03-20,0.0
569,2017-03-21,0.0
570,2017-03-22,0.0
571,2017-03-23,0.0
572,2017-03-24,0.6
573,2017-03-25,0.13
574,2017-03-26,0.0
575,2017-03-27,0.0
576,2017-03-28,0.03
577,2017-03-29,0.0
578,2017-03-30,0.08
579,2017-03-31,0.0
580,2017-04-01,0.0
581,2017-04-02,0.0
582,2017-04-03,0.08
583,2017-04-04,0.04
584,2017-04-05,0.04
585,2017-04-06,0.0
586,2017-04-07,0.0
587,2017-04-08,0.0
588,2017-04-09,0.0
589,2017-04-10,0.01
590,2017-04-11,0.03
591,2017-04-12,0.03
592,2017-04-13,0.27
593,2017-04-14,0.69
594,2017-04-15,0.45
595,2017-04-16,0.49
596,2017-04-17,0.41
597,2017-04-18,0.08
598,2017-04-19,0.02
599,2017-04-20,0.33
600,2017-04-21,1.16
601,2017-04-22,1.01
602,2017-04-23,0.02
603,2017-04-24,0.0
604,2017-04-25,0.0
605,2017-04-26,0.0
606,2017-04-27,0.1
607,2017-04-28,2.6
608,2017-04-29,0.35
609,2017-04-30,1.21
610,2017-05-01,0.07
611,2017-05-02,0.03
612,2017-05-03,0.01
613,2017-05-04,0.0
614,2017-05-05,0.0
615,2017-05-06,0.0
616,2017-05-07,0.07
617,2017-05-08,0.22
618,2017-05-09,1.62
619,2017-05-10,0.05
620,2017-05-11,0.03
621,2017-05-12,0.04
622,2017-05-13,0.02
623,2017-05-14,0.05
624,2017-05-15,0.08
625,2017-05-16,0.03
626,2017-05-17,0.02
627,2017-05-18,0.09
628,2017-05-19,0.02
629,2017-05-20,0.0
630,2017-05-21,0.0
631,2017-05-22,0.0
632,2017-05-23,0.02
633,2017-05-24,0.58
634,2017-05-25,0.37
635,2017-05-26,0.02
636,2017-05-27,0.0
637,2017-05-28,0.29
638,2017-05-29,0.02
639,2017-05-30,0.2
640,2017-05-31,0.1
641,2017-06-01,0.03
642,2017-06-02,0.1
643,2017-06-03,0.2
644,2017-06-04,0.15
645,2017-06-05,0.0
646,2017-06-06,0.0
647,2017-06-07,0.0
648,2017-06-08,0.02
649,2017-06-09,0.02
650,2017-06-10,0.21
651,2017-06-11,0.24
652,2017-06-12,0.19
653,2017-06-13,0.36
654,2017-06-14,0.27
655,2017-06-15,0.17
656,2017-06-16,0.02
657,2017-06-17,0.35
658,2017-06-18,0.25
659,2017-06-19,0.05
660,2017-06-20,0.05
661,2017-06-21,0.02
662,2017-06-22,0.1
663,2017-06-23,0.0
664,2017-06-24,0.0
665,2017-06-25,0.08
666,2017-06-26,0.02
667,2017-06-27,0.0
668,2017-06-28,0.01
669,2017-06-29,0.03
670,2017-06-30,0.04
671,2017-07-01,0.06
672,2017-07-02,0.05
673,2017-07-03,0.13
674,2017-07-04,0.03
675,2017-07-05,0.0
676,2017-07-06,0.0
677,2017-07-07,0.02
678,2017-07-08,0.02
679,2017-07-09,0.09
680,2017-07-10,0.0
681,2017-07-11,0.01
682,2017-07-12,0.01
683,2017-07-13,0.33
684,2017-07-14,0.05
685,2017-07-15,0.03
686,2017-07-16,0.07
687,2017-07-17,0.12
688,2017-07-18,0.03
689,2017-07-19,0.0
690,2017-07-20,0.12
691,2017-07-21,0.0
692,2017-07-22,0.07
693,2017-07-23,0.06
694,2017-07-24,0.58
